Username	UserID	Tweet	Reply_to	Location	Date	Coordinates	Tweet_Translated
throse_gd	64258566	RT @bactiman63: Novel #coronavirus: #Thailand reports 2nd confirmed case 		Australia	Fri Jan 17 11:55:34 +0000 2020		RT @bactiman63: Novel #coronavirus: #Thailand reports 2nd confirmed case
samiajose	98387226	"RT @ElInformanteMX: #China registra una segunda muerte por causa del nuevo coronavirus

"			Fri Jan 17 11:55:33 +0000 2020		RT @ElInformanteMX: #China registers a second death from the new coronavirus
dartgunintel	557822951	RT @DDNewslive: Health Ministry issues advisory to travellers visiting #China in view of #CoronaVirus outbreak 		Aspen, USA	Fri Jan 17 11:55:22 +0000 2020		RT @DDNewslive: Health Ministry issues advisory to travellers visiting #China in view of #CoronaVirus outbreak
dw_espanol	6135622	La paciente es una turista china proveniente de la Wuhan, la provincia donde fue detectado este nuevo tipo de coron… 		Berlin, Germany	Fri Jan 17 11:55:10 +0000 2020		The patient is a Chinese tourist from Wuhan, the province where this new type of coronary was detected.
MrLim8888	1047068716591124480	Thailand announces a SECOND case of Chinese coronavirus via @MailOnline			Fri Jan 17 11:54:15 +0000 2020		Thailand announces a SECOND case of Chinese coronavirus via @MailOnline
tokogriff_s	898775126	Thailand announces a SECOND case of Chinese coronavirus via @MailOnline			Fri Jan 17 11:53:20 +0000 2020		Thailand announces a SECOND case of Chinese coronavirus via @MailOnline
weatherindia	920364181488132096	.@WHO has issued a warning after the Japanese Ministry of Health, Labour and Welfare, informed the @UN of a confirm… 		India	Fri Jan 17 11:53:20 +0000 2020		.@WHO has issued a warning after the Japanese Ministry of Health, Labour and Welfare, informed the @UN of a confirm…
vipinbarolia	179489641	"RT @livemint: India to screen travellers from China at airports for coronavirus

(report by @neetu_csharma)  

http…"		New Delhi, India	Fri Jan 17 11:53:16 +0000 2020		"RT @livemint: India to screen travellers from China at airports for coronavirus

(report by @neetu_csharma)  

http…"
Sutu47News	3130788426	"Zweiter Patient stirbt an #Lungenkrankheit

Mehr als 40 Menschen leiden in #China an einer neuartigen Lungenkrankhe… "		Berlin, Deutschland	Fri Jan 17 11:53:05 +0000 2020		"Second patient dies of # lung disease

More than 40 people in #China suffer from a new type of lung disease ..."
TempoTemptress	78897887	RT @WHO: Reduce your risk of #coronavirus infection: 		🇺🇸🌎 UNIVERSAL	Fri Jan 17 11:52:51 +0000 2020		RT @WHO: Reduce your risk of #coronavirus infection:
MickymeetsDaegu	770701465270808578	RT @WHOWPRO: Reduce your risk of coronavirus infection by following these tips! 		Canada	Fri Jan 17 11:52:50 +0000 2020		RT @WHOWPRO: Reduce your risk of coronavirus infection by following these tips!
_Zoe_Andrews	281755275	RT @RSTMH: What you need to know about a new strain of #coronavirus — named 2019-nCoV — that has been discovered in China: 		Bailiwick of Guernsey, United Kingdom	Fri Jan 17 11:52:46 +0000 2020		RT @RSTMH: What you need to know about a new strain of #coronavirus — named 2019-nCoV — that has been discovered in China:
AndyVermaut	283604227	Amidst novel coronavirus outbreak in China, Health Ministry issues travel advisory for travels visiting China… 		Diksmuide, België	Fri Jan 17 11:52:06 +0000 2020		Amidst novel coronavirus outbreak in China, Health Ministry issues travel advisory for travels visiting China…
noticiasdemexi2	1095258406770958336	Coronavirus: Second death from SARS-like illness in Wuhan, China 		Mexico	Fri Jan 17 11:51:49 +0000 2020		Coronavirus: Second death from SARS-like illness in Wuhan, China
3montMonty	462459744	Thailand announces a SECOND case of Chinese coronavirus via @MailOnline@Salon @MSNBC… 			Fri Jan 17 11:51:31 +0000 2020		Thailand announces a SECOND case of Chinese coronavirus via @MailOnline@Salon @MSNBC…
DelthiaRicks	732787392722182144	Pathogen linked to pneumonia &amp; 2 deaths is what the CDC calls a novel coronavirus. A @Devex-produced map shows wher… 		New York	Fri Jan 17 11:51:03 +0000 2020		Pathogen linked to pneumonia &amp; 2 deaths is what the CDC calls a novel coronavirus. A @Devex-produced map shows wher… 
DelilahVeronese	1525512522	@WHO: @WHOThailand @WHOSEARO @WHOWPRO Protect yourself &amp; others from getting sick: 5⃣ Practice #foodsafety 🍽… 	14499829.0	Hells Hollow, NH	Fri Jan 17 11:51:00 +0000 2020		@WHO: @WHOThailand @WHOSEARO @WHOWPRO Protect yourself &amp; others from getting sick: 5⃣ Practice #foodsafety 🍽… 
RSTMH	601888277	What you need to know about a new strain of #coronavirus — named 2019-nCoV — that has been discovered in China:… 		London and worldwide	Fri Jan 17 11:51:00 +0000 2020		What you need to know about a new strain of #coronavirus — named 2019-nCoV — that has been discovered in China:…
AnalyticaGlobal	3059457425	Thailand announces a SECOND case of Chinese coronavirus that has killed two people 		Worldwide	Fri Jan 17 11:50:34 +0000 2020		Thailand announces a SECOND case of Chinese coronavirus that has killed two people
AJG1103	209679501	Had CoronaVirus a few times, no biggy! 		Chesterfield, UK	Fri Jan 17 11:50:07 +0000 2020		Had CoronaVirus a few times, no biggy!
mithu796311	2267188294	RT @republic: Health Ministry issues Travel Advisory for all visiting China due to Coronavirus outbreak 		मृग कस्तुरी 🙏🚩ॐ	Fri Jan 17 11:49:45 +0000 2020		RT @republic: Health Ministry issues Travel Advisory for all visiting China due to Coronavirus outbreak
ABDULLAHZERRAR	1244083682	Newly-found Chinese coronavirus causes 2nd death 		İstanbul, Türkiye	Fri Jan 17 11:49:40 +0000 2020		Newly-found Chinese coronavirus causes 2nd death
Smeccage	1390097022	RT @TIME: The novel coronavirus is in the same family as SARS, which killed hundreds of people after a 2003 outbreak 		San Leandro, CA	Fri Jan 17 11:49:30 +0000 2020		RT @TIME: The novel coronavirus is in the same family as SARS, which killed hundreds of people after a 2003 outbreak
michael_poe1	521351883	RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people 		Ballerup, Danmark	Fri Jan 17 11:49:04 +0000 2020		RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people
SeanJMolloy	21407876	Thailand announces a second case of Chinese coronavirus that has killed two people. Japan also with its first.… 		Toronto, Ontario	Fri Jan 17 11:48:51 +0000 2020		Thailand announces a second case of Chinese coronavirus that has killed two people. Japan also with its first.…
NewsBreakouts	826903692204965894	Coronavirus: Second person dies from virus as China struggles to contain outbreak... 		Maryland, USA	Fri Jan 17 11:48:51 +0000 2020		Coronavirus: Second person dies from virus as China struggles to contain outbreak...
NewsBreakouts	826903692204965894	Coronavirus: Second person dies from virus as China struggles to contain outbreak, 		Maryland, USA	Fri Jan 17 11:48:48 +0000 2020		Coronavirus: Second person dies from virus as China struggles to contain outbreak,
donKbrera	540075374	Más de 40 personas padecen en China de una nueva enfermedad pulmonar. Se reporta la segunda muerte. El coronavirus… 		Guatemala	Fri Jan 17 11:48:44 +0000 2020		More than 40 people in China have a new lung disease. The second death is reported. The coronavirus ...
MrLim8888	1047068716591124480	RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people 			Fri Jan 17 11:48:43 +0000 2020		RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people
AndyVermaut	283604227	A second person has died from a new SARS-like virus in China - CNN International 		Diksmuide, België	Fri Jan 17 11:48:34 +0000 2020		A second person has died from a new SARS-like virus in China - CNN International
TElghasri	1179690603799547905	RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people 			Fri Jan 17 11:48:30 +0000 2020		RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people
NoToEgypistan	754820179	RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people 		Cairo	Fri Jan 17 11:48:23 +0000 2020		RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people
DavidMartinDavi	1542004628	RT @alok227: India issues #traveladvisory in the wake of coronavirus outbreak in China. 		San Antonio, TX	Fri Jan 17 11:48:16 +0000 2020		RT @alok227: India issues #traveladvisory in the wake of coronavirus outbreak in China.
thessbprep	934497961265971200	Novel coronavirus outbreak in China: Travel advisory to travelers visiting China 		Delhi, India	Fri Jan 17 11:48:15 +0000 2020		Novel coronavirus outbreak in China: Travel advisory to travelers visiting China
Njcyclops01	849950307417112576	RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people 		日本	Fri Jan 17 11:48:07 +0000 2020		RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people
sidhant	17670329	novel coronavirus out break in China: India's health ministry issues advisory for travellers going to China 		नई दिल्ली, भारत	Fri Jan 17 15:59:18 +0000 2020		novel coronavirus out break in China: India's health ministry issues advisory for travellers going to China
GNAzPMf3XvYijaH	921516851158384640	"武汉宣布第二人死于神祕病毒，41人感染，当局正努力了解控制新病毒。
春运繁忙，数十亿人次南来北往，在尚不知病毒会否在人群中交互传染情况下，一旦爆发sars类状况，怕不怕?

待在原地吧🤔

""WHO issues warning… "			Fri Jan 17 15:59:01 +0000 2020		"Wuhan announced that a second person had died of a mysterious virus and 41 people had been infected. The authorities are working hard to understand and control the new virus.
During the busy Spring Festival travel season, billions of people travelled from north to south. When the virus is not yet known whether the virus will be cross-transmitted among the population, once a sars-like situation breaks out, are you afraid?

Stay where you are🤔

""WHO issues warning..."
DeeCMeyer	832412694	RT @SCMPNews: A 69-year-old man is the second person to die from a new strain of coronavirus linked to the Chinese city of Wuhan 			Fri Jan 17 15:59:01 +0000 2020		RT @SCMPNews: A 69-year-old man is the second person to die from a new strain of coronavirus linked to the Chinese city of Wuhan
FelipeR85856215	910695688803160064	Leyendo Japón confirma el primer caso de coronavirus; OMS advierte a todo el mundo  en vía @DineroEnImagen		CDMX	Fri Jan 17 15:58:54 +0000 2020		Reading Japan Confirms First Case of Coronavirus; WHO warns everyone via @DineroEnImagen
agobk	514688965	RT @PneumoniaWuhan: China's Mysterious Pneumonia-Like Virus Is Now Spreading to Other Countries - VICE #chinapneumo…			Fri Jan 17 15:57:13 +0000 2020		RT @PneumoniaWuhan: China's Mysterious Pneumonia-Like Virus Is Now Spreading to Other Countries - VICE #chinapneumo…
stardazedfl	73201168	"RT @greenmtnstate: @stardazedfl""WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan""  "		Daytona Beach, FL	Fri Jan 17 15:56:44 +0000 2020		"RT @greenmtnstate: @stardazedfl""WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan"""
Wiep13396680	1132634614470729734	RT @dekoran1: Chinese coronavirus niet in Europa, maar Erasmus MC is er toch druk mee    @lidwieneik_boom			Fri Jan 17 15:56:08 +0000 2020		RT @ dekoran1: Chinese coronavirus not in Europe, but Erasmus MC is still busy with it @lidwieneik_boom
familyrcf	863588071	Alerta por brote de neumonía provocada por nuevo virus 			Fri Jan 17 15:55:35 +0000 2020		Alert for outbreak of pneumonia caused by new virus
ArturJim1599	296561827	Japón confirma primer caso de nuevo coronavirus – Noticieros Televisa 		Colima, México	Fri Jan 17 15:54:58 +0000 2020		Japan confirms first case of new coronavirus - Noticieros Televisa
ArturJim1599	296561827	Japón confirma primer caso de nuevo coronavirus – Noticieros Televisa 		Colima, México	Fri Jan 17 15:54:38 +0000 2020		Japan confirms first case of new coronavirus - Noticieros Televisa
T_Shramana	1158736249458266114	"#coronavirus 
Stay vigilant 
Stay safe

@WHO "		Omnipresent	Fri Jan 17 15:53:44 +0000 2020		"#coronavirus 
Stay vigilant 
Stay safe

@WHO"
chrishendel	36051159	"CDC Telebriefing today at 1:00 pm ET.

Update on 2019 Novel Coronavirus (2019-nCoV)
 "		Vermont, USA	Fri Jan 17 15:52:40 +0000 2020		"CDC Telebriefing today at 1:00 pm ET.

Update on 2019 Novel Coronavirus (2019-nCoV)"
tamraraven	247637778	#WitnessesandDocument  RT. #SENATE #HOUSE  #CDC first #China | #WHO @WHO what are… 		The Big River, Missouri	Fri Jan 17 15:52:14 +0000 2020		#WitnessesandDocument  RT. #SENATE #HOUSE  #CDC first #China | #WHO @WHO what are…
firstcallcss	857036563854872576	"The Coronavirus From Wuhan, China Has Been Reported in Japan and Thailand. Here's What to Know
"			Fri Jan 17 15:52:05 +0000 2020		The Coronavirus From Wuhan, China Has Been Reported in Japan and Thailand. Here's What to Know
heatherswifty	64859158	Japan has 1st novel coronavirus case; China reports another death 		Ithaca, New York	Fri Jan 17 15:51:53 +0000 2020		Japan has 1st novel coronavirus case; China reports another death
CCNews__	966358516108873729	"Las autoridades han alertado a la población sobre el virus relacionado con el SRAS.

"		México	Fri Jan 17 15:51:37 +0000 2020		The authorities have alerted the population about the virus related to SARS.
polriKr	877076697807540224	Quel est le nouveau virus détecté en Chine? Peut-il se transmettre d'homme à homme? Va-t-il provoquer une épidémie… 		Paris/Toussieu/Evisa	Fri Jan 17 15:50:42 +0000 2020		What is the new virus detected in China? Can it be transmitted from man to man? Will he cause an epidemic ...
aida_abdullah79	346379907	"RT @SinarOnline: Wanita dari Wuhan di Wilayah Hubei, China, didiagnosis mengalami jangkitan coronavirus
#sinarharian
"		selangor	Fri Jan 17 15:50:32 +0000 2020		"RT @SinarOnline: Woman from Wuhan in Hubei Province, China, diagnosed with coronavirus infection
#sinarharian"
GETConsortium	3995287023	"We have published Series 2 of GET Policy Brief!

Titled: Corona-viruses from Bats in Laikipia County, Kenya and the… "			Fri Jan 17 15:49:53 +0000 2020		"We have published Series 2 of GET Policy Brief!

Titled: Corona-viruses from Bats in Laikipia County, Kenya and the…"
JavierGarciaF_	550992394	El resfriado común suele ser causado por Coronavirus o rotavirus, hablar de antibióticos y meter aquí al resfriado;… 		Badajoz, España	Fri Jan 17 15:49:31 +0000 2020		The common cold is usually caused by Coronavirus or rotavirus, talk about antibiotics and put the cold here; ...
SocratesTheSix	1091187829424701441	RT @hemant_meshram: Coronavirus Outbreak: Nepal initiates screening of travelers from China, Japan, Thailand at airports  		Cape Town, South Africa	Fri Jan 17 15:49:24 +0000 2020		RT @hemant_meshram: Coronavirus Outbreak: Nepal initiates screening of travelers from China, Japan, Thailand at airports
LydiaMFanfan	106755054	RT @bactiman63: Novel #coronavirus: #Thailand reports 2nd confirmed case 		Los Angeles, California	Fri Jan 17 15:49:18 +0000 2020		RT @bactiman63: Novel #coronavirus: #Thailand reports 2nd confirmed case
BeakerH	44875206	Really interesting analysis. Modelling suggests that there may be over 1000 cases linked to the outbreak in #Wuhan… 		@wellcometrust	Fri Jan 17 15:49:01 +0000 2020		Really interesting analysis. Modelling suggests that there may be over 1000 cases linked to the outbreak in #Wuhan…
DAngelopolitano	826142830276071428	"#Internacional
Japón confirmó el primer caso de infección por un nuevo coronavirus con origen en #China que ha mata… "		Puebla, México	Fri Jan 17 15:49:00 +0000 2020		"#International
Japan confirmed the first case of infection by a new coronavirus originating in #China that has kills ..."
Fla_Medic	18868457	AFD Blog `Imperial College London: Estimating Number Of #Coronavirus Cases In Wuhan, China'  		West Central Florida	Fri Jan 17 15:48:30 +0000 2020		AFD Blog `Imperial College London: Estimating Number Of #Coronavirus Cases In Wuhan, China'
PVynckier	3334677605	"RT @ApsisInc: ""WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan""  "		Strasbourg	Fri Jan 17 15:47:53 +0000 2020		"RT @ApsisInc: ""WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan"""
TheWorldnews143	1193168147655868416	Coronavirus: Second death from SARS-like illness in Wuhan, China 		United Kingdom	Fri Jan 17 15:47:41 +0000 2020		Coronavirus: Second death from SARS-like illness in Wuhan, China
P_risks	482875004	Japan confirms first case of coronavirus infection 			Fri Jan 17 15:47:40 +0000 2020		Japan confirms first case of coronavirus infection
yingmindfulness	397240521	"Second person dies from SARS-linked #coronavirus in #China | The Japan Times 
@japantimes"		Bangkok, Thailand	Fri Jan 17 15:45:50 +0000 2020		"Second person dies from SARS-linked #coronavirus in #China | The Japan Times 
@japantimes"
tamraraven	247637778	RT @FluTrackers: Media Advisory: CDC Telebriefing: Update on 2019 Novel Coronavirus (2019-nCoV) Today at 1:00 p.m. ET 		The Big River, Missouri	Fri Jan 17 15:45:50 +0000 2020		RT @FluTrackers: Media Advisory: CDC Telebriefing: Update on 2019 Novel Coronavirus (2019-nCoV) Today at 1:00 p.m. ET
tamraraven	247637778	"RT @latestly: #NovelCoronavirus: Indian Health Ministry (@MoHFW_INDIA) Issues Travel Advisory After Outbreak in #China
"		The Big River, Missouri	Fri Jan 17 15:45:41 +0000 2020		RT @latestly: #NovelCoronavirus: Indian Health Ministry (@MoHFW_INDIA) Issues Travel Advisory After Outbreak in #China
tamraraven	247637778	RT @theyouthmag_: Novel coronavirus: Health Ministry reviews public health preparedness after outbreak in China 		The Big River, Missouri	Fri Jan 17 15:45:27 +0000 2020		RT @theyouthmag_: Novel coronavirus: Health Ministry reviews public health preparedness after outbreak in China
ISID_org	758375135183265792	"""The continuing 2019-nCoV #epidemic threat of novel coronaviruses to global health — The latest 2019 novel… "		Boston, MA	Fri Jan 17 15:45:06 +0000 2020		"""The continuing 2019-nCoV #epidemic threat of novel coronaviruses to global health — The latest 2019 novel…"
Telenordcomdo	275560190	"Confirma Japón el primer caso de coronavirus; OMS alerta en todo el mundo
"		Duarte, Republica Dominicana	Fri Jan 17 15:44:37 +0000 2020		Japan Confirms First Case of Coronavirus; WHO alerts around the world
difromtomorrow	1035639270	RT @WHO: Reduce your risk of #coronavirus infection: 		Mars, the planet!	Fri Jan 17 15:44:08 +0000 2020		RT @WHO: Reduce your risk of #coronavirus infection:
L_Wyman	1128829814	RT @OANN: Chinese Coronavirus Cases Discovered In Japan And Thailand #OANN 		United States, Minnesota	Fri Jan 17 15:44:00 +0000 2020		RT @OANN: Chinese Coronavirus Cases Discovered In Japan And Thailand #OANN
ShemKenan	258917951	CDC To Screen For New Strain Of Coronavirus At 3 U.S. Airports 		United States	Fri Jan 17 21:59:51 +0000 2020		CDC To Screen For New Strain Of Coronavirus At 3 U.S. Airports
mstandaert	16507856	Second Chinese tourist found infected with coronavirus via @bangkokpostnews		Shenzhen	Fri Jan 17 21:59:48 +0000 2020		Second Chinese tourist found infected with coronavirus via @bangkokpostnews
korol_koshek	954497565336178688	Passengers at 3 major US airports to be screened for deadly Chinese VIRUS — RT USA News  CO… 		United States	Fri Jan 17 21:59:41 +0000 2020		Passengers at 3 major US airports to be screened for deadly Chinese VIRUS — RT USA News  CO…
SteveMillerSF	40082786	CDC To Screen For New Strain Of Coronavirus At 3 U.S. Airports 		San Jose, CA	Fri Jan 17 21:59:20 +0000 2020		CDC To Screen For New Strain Of Coronavirus At 3 U.S. Airports
Lunarteddy	229588028	#coronavirus Can’t help thinking of Grandad, a blue collar worker who didn’t drink alcohol but got excited by the… 		Catland	Fri Jan 17 21:59:13 +0000 2020		#coronavirus Can’t help thinking of Grandad, a blue collar worker who didn’t drink alcohol but got excited by the…
infoitsalute	317742806	Polmonite da nuovo coronavirus: secondo morto in Cina 		Italia	Fri Jan 17 21:59:11 +0000 2020		New coronavirus pneumonia: second death in China
AnneODMatthews	950026288923856896	RT @RSTMH: What you need to know about a new strain of #coronavirus — named 2019-nCoV — that has been discovered in China: 		Dublin City, Ireland	Fri Jan 17 21:59:07 +0000 2020		RT @RSTMH: What you need to know about a new strain of #coronavirus — named 2019-nCoV — that has been discovered in China:
Isabel84335106	1134771307940261888	RT @mrbcyber: Three U.S. Airports to Screen Passengers for Chinese Coronavirus - The New York Times 			Fri Jan 17 21:59:02 +0000 2020		RT @mrbcyber: Three U.S. Airports to Screen Passengers for Chinese Coronavirus - The New York Times
DrJudyStone	20739133	The new reports of the novel #coronavirus cases being found in Japan and Thailand perfectly illustrates the need fo… 		Maryland and Maine	Fri Jan 17 21:59:01 +0000 2020		The new reports of the novel #coronavirus cases being found in Japan and Thailand perfectly illustrates the need fo…
doliver8	180664700	RT @usatodaytravel: JUST IN: Major heads up. 		Washington, DC	Fri Jan 17 21:58:25 +0000 2020		RT @usatodaytravel: JUST IN: Major heads up.
TUCC_Official	1136578029923082240	"RT WHO: Q: What is a #coronavirus?

A: Coronaviruses are a large family of viruses that are known to cause illness… "		New Delhi, India	Fri Jan 17 21:58:22 +0000 2020		"RT WHO: Q: What is a #coronavirus?

A: Coronaviruses are a large family of viruses that are known to cause illness…"
usatodaytravel	24016767	JUST IN: Major heads up. 		USA TODAY HQ, McLean, Va.	Fri Jan 17 21:58:10 +0000 2020		JUST IN: Major heads up.
Rachel_McRea	122280853			Tuscaloosa, AL	Fri Jan 17 21:58:06 +0000 2020		
AndreDFoxx13	924485987291619328	"RT @WHO: Q: What can I do to protect myself from #coronavirus?

A: "		Charlotte, NC	Fri Jan 17 21:57:40 +0000 2020		"RT @WHO: Q: What can I do to protect myself from #coronavirus?

A:"
CottageLiberty	1132625986196070400	"RT @jeeezelouise: Possibly relevant information - elderberry inhibits infectious bronchitis, which is caused by a coronavirus
 "		I live in my dog's house. 	Fri Jan 17 21:57:34 +0000 2020		RT @jeeezelouise: Possibly relevant information - elderberry inhibits infectious bronchitis, which is caused by a coronavirus
arabianofelix	23905500	RT @Gothamist: Passengers Arriving At JFK From Wuhan China To Be Screened For New Coronavirus Strain 		MCR/NYC	Fri Jan 17 21:57:20 +0000 2020		RT @Gothamist: Passengers Arriving At JFK From Wuhan China To Be Screened For New Coronavirus Strain
anarcho	15970784	Coronavirus screenings to begin at LAX, two other U.S. airports amid outbreak in China 		California	Fri Jan 17 21:56:55 +0000 2020		Coronavirus screenings to begin at LAX, two other U.S. airports amid outbreak in China
FutrellDenice	925834550776909825	"Coronavirus-2 dead in China and now there are cases documented in Japan and Thailand.
Not to start a fear wave, but… "		Florida, USA	Fri Jan 17 21:56:53 +0000 2020		"Coronavirus-2 dead in China and now there are cases documented in Japan and Thailand.
Not to start a fear wave, but…"
Quizzlerian	313949814	Travelers at 3 U.S. airports (JFK, LA, SF) to be screened for new, potentially deadly Chinese virus… 		Wisconsin, USA	Fri Jan 17 21:56:44 +0000 2020		Travelers at 3 U.S. airports (JFK, LA, SF) to be screened for new, potentially deadly Chinese virus…
Mhwilsonrn	23894416	"RT @FCatalfumo: Are your hospitals preparing? #medtwitter

The moment an emergency happens, it becomes too late to prepare.  "			Fri Jan 17 21:56:39 +0000 2020		"RT @FCatalfumo: Are your hospitals preparing? #medtwitter

The moment an emergency happens, it becomes too late to prepare."
JVictor8019	1006374478253735938	RT @bactiman63: 			Fri Jan 17 21:56:32 +0000 2020		RT @bactiman63:
Bird5Ca	739487196793720833	"The World Health Organization (WHO) has said the virus could spread and warned hospitals against it.
Meanwhile, in… "		Land Mass that was Canada	Fri Jan 17 21:56:05 +0000 2020		"The World Health Organization (WHO) has said the virus could spread and warned hospitals against it.
Meanwhile, in…"
24sante_fr	3258569603	U.S. to screen passengers for new China coronavirus at 3 airports 			Fri Jan 17 21:56:02 +0000 2020		U.S. to screen passengers for new China coronavirus at 3 airports
DelilahVeronese	1525512522	@WHO: RT @ONU_fr: L’Organisation mondiale de la Santé travaille en collaboration avec les autorités thaïlandaises e… 	14499829.0	Hells Hollow, NH	Fri Jan 17 21:56:01 +0000 2020		@WHO: RT @ONU_en: The World Health Organization is working in collaboration with the Thai authorities and ...
colleenmmck618	865784763994341376	"RT @WHO: Q: What can I do to protect myself from #coronavirus?

A: "			Fri Jan 17 21:55:35 +0000 2020		"RT @WHO: Q: What can I do to protect myself from #coronavirus?

A:"
GB_FollowBack19	1552887679	Three U.S. Airports to Check Passengers for a Deadly Chinese Coronavirus 		Etats-Unis	Fri Jan 17 21:55:32 +0000 2020		Three U.S. Airports to Check Passengers for a Deadly Chinese Coronavirus
minorcan	17700004			Boise, ID	Fri Jan 17 21:55:26 +0000 2020		
Diamandbacks	263749346	"That didn’t take long

 JFK, SF and LAX airports to screen for Chinese coronavirus via @MailOnline"		Skyhigh Mountain, NY	Fri Jan 17 21:54:56 +0000 2020		"That didn’t take long

 JFK, SF and LAX airports to screen for Chinese coronavirus via @MailOnline"
OogyCoyote	22778856	RT @jawja100: CDC To Screen For New Strain Of Coronavirus At 3 U.S. Airports 		Santa Fe, NM	Fri Jan 17 21:54:48 +0000 2020		RT @jawja100: CDC To Screen For New Strain Of Coronavirus At 3 U.S. Airports
DianaMOrtizC	240110103	"RT @asocepi: Que esta pasando con el brote de mortalidad de neumonia por Corona virus?. Último reporte de la OMS. 
"			Fri Jan 17 21:54:43 +0000 2020		RT @asocepi: What is happening with the Corona virus pneumonia mortality outbreak? Latest WHO report.
Gothamist	810424	Passengers Arriving At JFK From Wuhan China To Be Screened For New Coronavirus Strain 		New York, NY	Fri Jan 17 21:54:25 +0000 2020		Passengers Arriving At JFK From Wuhan China To Be Screened For New Coronavirus Strain
