	Username	UserID	Tweet	Reply_to	Location	Date	Coordinates
47	JanetTu20750902	858055656	RT @KTVU: Senior center in San Bruno closed after possible coronavirus exposure		Fairfax, CA	Fri Mar 06 20:29:56 +0000 2020	
48	AldiaHispanos	4418040863	Confirmed the fifth case of coronavirus US			Sun Jan 26 21:59:59 +0000 2020	
49	me_anjel1992	990043291117699073	Hmm....the Coronavirus went through an assimilation 6 weeks before the outbreak came out. This skit about Kobe Brya…			Sun Jan 26 21:59:59 +0000 2020	
50	techynerd1988	1135850914789638145	RT @CalliopeCo: California’s first two cases of #coronavirus strain confirmed in Los Angeles and Orange counties.			Sun Jan 26 21:59:59 +0000 2020	
51	Linusthesheepie	316836701	The outbreaks of both the Wuhan coronavirus and SARS started in Chinese wet markets. Photos show what the markets l…		Wisconsin	Sun Jan 26 21:59:59 +0000 2020	
52	loren_matheson	774682559322009600	Containing new coronavirus may not be feasible, experts say - STAT		Ottawa, Ontario	Sun Jan 26 21:59:59 +0000 2020	
53	kassy_131	4143928757	RT @PDChina: A fifth case of the new #coronavirus has been confirmed in the U.S. This time in Arizona.		FRANCE	Sun Jan 26 21:59:59 +0000 2020	
54	PyroBatNL	49748308	Fact and fable about the new coronavirus		Nederland... 	Sun Jan 26 21:59:59 +0000 2020	
55	DilvirChanna	781037262	RT @988Patrick: It’s not a joke . Share guys and stay safe #coronavirus			Sun Jan 26 21:59:59 +0000 2020	
56	SpideyCMC	255790940	RT @KTLA: BREAKING: The first case of Wuhan coronavirus has been confirmed in Los Angeles County, health officials said		Los Angeles, CA	Sun Jan 26 21:59:58 +0000 2020	
57	Lobo_loiro	879016925090787330	"RT @HistoriaNoPaint: Children: When I grow I want ...

coronavirus:"		São Paulo, Brasil	Sun Jan 26 21:59:58 +0000 2020	
58	Sol0705	114798724	RT @MartinexMati: The Coronavirus knowing the Denge.		Planeta Tierra 🌎	Sun Jan 26 21:59:57 +0000 2020	
59	LeonardShelto13	1206374142661951489	RT @EndGameWW3: ADHS: One case of coronavirus confirmed in Maricopa County		Colorado, USA	Sun Jan 26 21:59:57 +0000 2020	
60	RosieAndujar	471181953	RT @maggiemmoore: Coronavirus: Biological Weapon		Florida, USA	Sun Jan 26 21:59:57 +0000 2020	
61	AhmatFadoul6	1162407954718625792	"RT @franceinfo: Coronavirus: France, ""intends"" buses to the French who want to leave Wuhan"			Sun Jan 26 21:59:57 +0000 2020	
62	DiosaDemoniaca	2684150436	RT @hoemoticon: me when i hear someone coughing in class with this coronavirus spreading around		Dallas, TX	Sun Jan 26 21:59:57 +0000 2020	
63	ProvenBelief	21536902	Patient Tests Positive for Wuhan Coronavirus in Orange County in 3rd Documented Case in U.S. – KTLA		Bay Area, CA	Sun Jan 26 21:59:57 +0000 2020	
64	pmroxy	994924512	"RT @DiariesPolar: 4th case of #coronavirus confirmed in USA
#CoronavirusOutbreak
#ChinaCoronaVirus
#LosAngelesCalifornia"		East Riding of Yorkshire. Uk	Sun Jan 26 21:59:56 +0000 2020	
65	DesertRunningMa	1105587541476950016	RT @edwardjolmos: here’s a reality that we should all jump on !!!		United States	Sun Jan 26 21:59:56 +0000 2020	
66	Alanshotit	1616195678	RT @siwuol_: rt to save life #coronavirus		Abuja, Nigeria	Sun Jan 26 21:59:56 +0000 2020	
67	m_m1941	74135343	RT @Reuters: Paris cancels Lunar New Year parade over coronavirus		壁の前	Sun Jan 26 21:59:56 +0000 2020	
68	chelseaperetti	78194111	RT @GuardianUS: Coronavirus could infect 100,000 globally, experts warn		Los Angeles	Sun Jan 26 21:59:55 +0000 2020	
69	RaYo69838775	1213895166781583360	It's hot there, nobody wants to have coronavirus and suddenly everyone stays home # conoravirus ...			Sun Jan 26 21:59:55 +0000 2020	
70	mariah_prior	3765047613	Report: China deploys military resources in effort to contain coronavirus outbreak			Sun Jan 26 21:59:55 +0000 2020	
71	AnaStyl24175967	4471806683	RT @guardian: Matildas' Olympics qualifiers moved to Sydney because of coronavirus outbreak		New York, NY	Sun Jan 26 21:59:55 +0000 2020	
72	wise_diva	14346779	US registers fifth coronavirus case, Arizona health officials say		In the sky	Sun Jan 26 21:59:55 +0000 2020	
73	sanli	15168678	"RT @outbreaksci: Contribute a rapid review or request one for ""The 2019-new Coronavirus epidemic: evidence for virus evolution"" ("		The Netherlands	Sun Jan 26 21:59:55 +0000 2020	
74	officialstory6	1157681557924122624	Coronavirus: 100,000 may already be infected, experts warn			Sun Jan 26 21:59:55 +0000 2020	
75	justplainsanity	53673435	RT @LNMarira: did you see where Coronavirus came from - there's a US patent for it from 2018		Cape Cod	Sun Jan 26 21:59:55 +0000 2020	
76	Fabocido	1081358717633875969	#coronavirus		Pernambuco, Brasil	Sun Jan 26 21:59:54 +0000 2020	
77	KingstonPodcast	1164599412531724288	5th person found in U.S. with coronavirus. Expect this to be dozens in the coming days. Important to remember we co…		Download into brain 100% free:	Sun Jan 26 21:59:54 +0000 2020	
78	eazel7	936863828	And I'll call Coronavirus		Espero que cambie pronto	Sun Jan 26 21:59:54 +0000 2020	
79	reusdirection	2896109674	RT @siwuol_: rt to save life #coronavirus		2021	Sun Jan 26 21:59:54 +0000 2020	
80	DiegoValerra	1177304390	RT @MartinexMati: The Coronavirus knowing the Denge.		Santa Cruz de Tenerife, España	Sun Jan 26 21:59:54 +0000 2020	
81	cengridho_	2857816146	"RT @huda_serdadu: Senjata biologis &gt;&lt; berasal dari hewan

"		Nusantara	Sun Jan 26 21:59:54 +0000 2020	
82	grauniad_news	804489337324929024	Matildas' Olympics qualifiers moved to Sydney because of coronavirus outbreak			Sun Jan 26 21:59:54 +0000 2020	
83	josevonkarma	1028611078471725056	RT @acerealkiller_: Molecules of coronavirus within the Murcielago		Barcelona, Cataluña	Sun Jan 26 21:59:54 +0000 2020	
84	Rodon_J	367714791	UPDATE by countries		Barcelona	Sun Jan 26 21:59:53 +0000 2020	
85	BravesStats	17684707	If we make our bodies uninhabitable, maybe the coronavirus will pass us by. - David’s dad in Independence Day (para…		Braves Country	Wed Mar 04 10:59:54 +0000 2020	
86	jordisanuy	411802485	RT @malacarasev: WILL THE Senore QUERE sightly coronavirus FOR ENDING		Barcelona, Catalunya	Sat Feb 08 15:59:59 +0000 2020	
87	JoannaTeglund	439321373	12. potwierdzony przypadek #2019nCoV #koronawirus🦠#coronavirus w Niemczech - żona mężczyzny, który pracuje w firmie… 		Stockholm,  Warszawa	Sat Feb 08 15:59:59 +0000 2020	
88	CharlyBerry_24	2163770082	PATIENT DIES #ULTIMAHORA #URGENTE ISOLATED ON CHINESE QUITO #coronavirus #Ecuador			Sat Feb 08 15:59:59 +0000 2020	
89	ielledean	3600638474	DOH urges public to avoid crowded events amid coronavirus alert:via @ABSCBNNews		Philippines	Sat Feb 08 15:59:58 +0000 2020	
90	beequebq	1059402154534817792	RT @STcom: Coronavirus: 7 new confirmed cases in S'pore, possible new cluster involving church in Paya Lebar			Sat Feb 08 15:59:58 +0000 2020	
91	winnipegsun	28587570	Coronavirus death toll set to surpass SARS		Winnipeg, Manitoba	Sat Feb 08 15:59:58 +0000 2020	
92	SunnyMMoudgil	1147747042233421825	"@Ach_Balkrishna RT: # protect against viruses such as Corona's # basil and # Giloy #CoronaVirus

# Acharybalkrishn # acharyabalkris ..."		Himachal Pradesh, India	Sat Feb 08 15:59:58 +0000 2020	
93	1sihle	187015764			La	Sat Feb 08 15:59:58 +0000 2020	
94	lynvgarcia	77200952	RT ABSCBNNews: A Filipino in the United Arab Emirates in 2019 tested positive Novel #Coronavirus.		Republic of the Philippines	Sat Feb 08 15:59:57 +0000 2020	
95	Wiggy1965Jazz	1219037764798296064	RT @Hillchaser:			Sat Feb 08 15:59:57 +0000 2020	
96	WorldTruthTV	21032566	Nature Science Journal Warned About “Pathogens Escaping” Wuhan Level-4 Biosafety Lab (BSL-4) Before Coronavirus Out…		N.Y.C	Sat Feb 08 15:59:57 +0000 2020	
97	smartthumb	249171334	"Is coronavirus ten times WORSE than feared?
#china"		London, England	Sat Feb 08 15:59:57 +0000 2020	
98	GaryImheigin	2182556844	RT @Tssomas: We're clearly being lied to, wtf is going on in China #coronavirus		England, United Kingdom	Sat Feb 08 15:59:57 +0000 2020	
99	TheJayCalledLee	293025517	In France, two schools to shut as five British nationals among new coronavirus cases		Tokyo	Sat Feb 08 15:59:57 +0000 2020	
100	masa_okaji_	1150003336352899072	RT @business: Forget coronavirus. We’re not ready for the next global virus outbreak via @BW		Japan	Sat Feb 08 15:59:57 +0000 2020	
101	ekemma	33293133	"Without health, we have nothing. 
#Coronavirus #TEDTalk"		Abuja, Nigeria	Sat Feb 08 15:59:57 +0000 2020	
102	jorr2006	40697152	"RT @TIME: ""An eternal hero."" Whistleblower doctor Li Wenliang, who sounded an early warning about coronavirus, dies in China"			Sat Feb 08 15:59:57 +0000 2020	
103	listin_semanal	1120741599145799680	Ecuador died in the Chinese citizen who tested negative for coronavirus | Ecuador | News…		Valencia, Spain	Sat Feb 08 15:59:57 +0000 2020	
104	cecicha56190995	1168172452863569922	RT @SophieHRW: Will we ever really be able to know how the #Coronavirus played out across #Xinjiang? ⁦@hrw⁩ ⁦@hrw_chinese⁩		Hong Kong	Sat Feb 08 15:59:56 +0000 2020	
105	Aradia_Amunet	30624114	"RT @ Fifirulais3030: And in your country, .. are preparing for the arrival of the #coronavirus?

Well, as I explain?

#MexicoReflexivo"		#RepúblicaDeFifidonia	Sat Feb 08 15:59:56 +0000 2020	
106	blogdeassis	251525484	China has 723 deaths from coronavirus and more than 34,000 confirmed cases			Sat Feb 08 15:59:56 +0000 2020	
107	wearewhatsdope	977708337386045440	"*****THEY'RE JUST STEALING FROM YOU******

And why is this not THE top story??

Because you're distracted w/ impeac…"		Canada	Sat Feb 08 15:59:56 +0000 2020	
108	tedry	21469407	RT @ChannelNewsAsia: JUST IN: Singapore confirms 7 new cases of novel #coronavirus, including a taxi driver and a private-hire driver			Sat Feb 08 15:59:55 +0000 2020	
109	bitcoinconnect	306127388	Coronavirus: Third UK patient 'caught coronavirus in Singapore' SURVIVE SEE DETAILS AT ==&gt;  			Sat Feb 08 15:59:55 +0000 2020	
110	LisaRecker74	873201859422547969	@realDonaldTrump @LeeSmithDC @IngrahamAngle @FoxNews Can't someone with the coronavirus visit 1600 Pennsylvania Ave…	25073877.0		Sat Feb 08 15:59:54 +0000 2020	
111	NcovUpdate	1220387037574025217	"Total Confirmed cases.
#WuhanCoronavirus #Wuhan #ChinaVirus #virus #SARS #coronavirus  #China #WuhanPneumonia…"			Sat Feb 08 15:59:54 +0000 2020	
112	rchabault	507239592	"RT @LesEchos: Coronavirus: five new cases in France, in China discouraged travel ""unless compelling reasons"""			Sat Feb 08 15:59:54 +0000 2020	
113	babybolster	386630488	RT @STcom: Coronavirus: Made-in-Singapore diagnostics test implemented at hospitals here		Pai, Thailand	Sat Feb 08 15:59:53 +0000 2020	
114	GreatGameIndia	2423370157	RT @Suses2: White House To Investigate If Coronavirus Was Weaponized		India	Sat Feb 08 15:59:53 +0000 2020	
115	HenryMakow	477864155	Dr. Francis Boyle: Coronavirus leaked from Wuhan BioLab, as Lyme Disease &amp; West Nile Disease leaked from US Lab at… 		Winnipeg	Sat Feb 08 15:59:53 +0000 2020	
116	Annalis04484378	1018468604843618309	"Coronavirus, accusations from London to China: ""50 thousand infections every day, so hide ..."			Sat Feb 08 15:59:53 +0000 2020	
117	Passion2Peace	1689652346	"""We are only as strong as the weakest link.

- WHO Director-General Dr. Tedros Adhanom Ghebreyesus"			Sat Feb 08 15:59:53 +0000 2020	
118	givemethepie	708674356885458945	I HATE THIS IT'S LIKE A CORONAVIRUS WORLD TOUR		everywhere	Sat Feb 08 15:59:52 +0000 2020	
119	IDon7Care_CwC	1042889216	"RT @so_ferrari_CARP: Argentina is prepared to activate the emergency protocol against Coronavirus.

The protocol:"		Buenos Aires	Sat Feb 08 15:59:52 +0000 2020	
120	Orgleader	228118184	RT @OANN: Coronavirus Confirmed In San Diego, Calif. #OANN		USA #MAGA	Wed Feb 12 11:59:46 +0000 2020	
121	Anon_kag2020	1920830869	RT @Lihua__CHEN: Chinese Communist Party Officials = Bandits #coronavirus #wuhan # # Wuhan pneumonia		Alice in wonderland 🕳🐇	Sat Feb 15 20:59:40 +0000 2020	
122	Tipsxnews	972343580659539968	Two die of coronavirus in Iran, first fatalities in Middle East – Al Jazeera English via @Tipsnews2020		Kansas City, MO	Thu Feb 20 11:59:42 +0000 2020	
123	KindeandTrue	864230060177457154			Long Island, NY	Mon Feb 17 22:59:45 +0000 2020	
124	hotmesskenny	555002566	RT @bontmercy: CORONAVIRUS YOUVE YEED YOUR LAST HAW		7R - Lisboa	Fri Mar 06 11:44:57 +0000 2020	
125	EmperorHughes	997185213942808576	"After outbreak, ship crew has nowhere to hide 
@angiemartinez"			Tue Feb 11 19:29:43 +0000 2020	
126	ap1of1	2932702170	@CrypticNoOne The creator of Coronavirus.	7.467969372953231e+17	Out The Way.	Wed Mar 04 20:59:57 +0000 2020	
127	TrumpRussiaTies	265710881	RT @NewsHour: WATCH LIVE: White House economic adviser Larry Kudlow addresses novel coronavirus threat		Sol, Sector 0, Alpha Quadrant	Fri Feb 28 15:59:58 +0000 2020	
128	McLovinSJ	240081523	RT @QuickTake: WHO officials say it’s now clear how the new #coronavirus spreads, at least in most cases		Bucharest, Romania	Sun Mar 08 08:29:54 +0000 2020	
129	byterain77	3120753229	@zaiapresidente ❌❌❌ You are strong you are unique. Alone you Venetians can ensure the survival of the entire North ... #	1324893229.0	Brussel, België	Sun Mar 08 11:44:57 +0000 2020	
130	al_cardiff1	1676652944	RT @TradeFloorAudio: Yikes .... Just as the WHO feared .....		United Kingdom	Tue Jan 21 11:59:59 +0000 2020	
131	ahamd_elham	1166767978744111104	RT @guardian: US briefing: impeachment trial, coronavirus and gun violence		Kabul	Tue Jan 21 11:59:57 +0000 2020	
132	omiya4	480068099	"RT @Japangard: things to infection from person to person.
Already a number of infection route from the generation there is a possibility that exists hiding in the country.

And the coverage of China, on the assumption that the government response is always the iron, you must have self-defense."			Tue Jan 21 11:59:57 +0000 2020	
133	BCWildfireWkly	1031691314536935424	"""World Health Organization to hold an emergency meeting as coronavirus cases jump to nearly 300"" - @TwitterMoments:…"		British Columbia, Canada	Tue Jan 21 11:59:55 +0000 2020	
134	MrSirUgly	746142256260734976	Brisbane man tested for coronavirus as authorities boost security | The New Daily		Live anywhere haven't died yet	Tue Jan 21 11:59:55 +0000 2020	
135	grtgrll	1214850822879756288	RT @marco_marran: I read #coronavirus and I thought, now what he combined Crown ..			Tue Jan 21 11:59:52 +0000 2020	
136	GfranceFrance	808562523675000832	RT @Actu17: 🔴 Nouveau coronavirus en Asie : nouveau bilan de 6 morts, près de 300 cas confirmés 		Gard, Languedoc-Roussillon	Tue Jan 21 11:59:49 +0000 2020	
137	robertped	101598983	RT @MedicalFactsIT: Chinese Coronavirus: it is transmitted from human to human #medicalfacts #robertoburioni #coronavirus #cina		Udine	Tue Jan 21 11:59:48 +0000 2020	
138	phatrabbitkill2	745657951126495233	World Health Organization to hold an emergency meeting as coronavirus cases jump to nearly 300		Washington, DC	Tue Jan 21 11:59:48 +0000 2020	
139	FyffeNadine	897629014533320704	RT @guardian: US briefing: impeachment trial, coronavirus and gun violence		Brooklyn, NY	Tue Jan 21 11:59:48 +0000 2020	
140	qayyumarafat	69343948	RT @anthraxxxx: Confirmed cases of new coronavirus infection in Guangdong province, China.		Subang Jaya/Kluang/Manchester 	Tue Jan 21 11:59:48 +0000 2020	
141	enzoenoque	974847055280705539	RT @cnni: There has been a third death and 139 new cases of pneumonia caused by a new strain of coronavirus, China reports		americana	Tue Jan 21 11:59:47 +0000 2020	
142	obinson	16555039	RT @chaser: Nation savours single facemask free day between smoke and coronavirus outbreak			Tue Jan 21 11:59:47 +0000 2020	
143	Inesroeder1	1085641568281862150	RT @bbcbrasil: Coronavirus in China: after tripling cases, what is known about the mysterious illness			Tue Jan 21 11:59:46 +0000 2020	
144	Voignierjulien	972798888	"RT @JulianBrada: 1er cas confirmé de Coronavirus à Taïwan et toujours exclu de l’organisation mondiale de la santé 🤷🏽‍♂️@WHO 

"		Taïwan	Tue Jan 21 11:59:45 +0000 2020	
145	CarlZha	65172298	"Wechat meme for Chinese New Year during Wuhan #coronavirus outbreak.

Caption: C’mmon let’s go out to play"			Tue Jan 21 11:59:44 +0000 2020	
146	karunisms	120509446	"To All Parents 

(These hashtags are irrelevant but i want to get this message out there)
#HyundaiAURA 
#Zomato…"		Sunshine City	Tue Jan 21 11:59:44 +0000 2020	
147	Marysioux	215628684	China confirms human-to-human transmission of deadly virus		England . UK.	Tue Jan 21 11:59:44 +0000 2020	
148	jankadventures	3151531196	RT @WHOPhilippines: Do you have questions about #coronavirus? Watch this brief video!		XU USAD 	Tue Jan 21 11:59:43 +0000 2020	
149	tomatumba	3162817982	China confirms fourth coronavirus death, as WHO prepares to meet		Calgary, Alberta	Tue Jan 21 11:59:43 +0000 2020	
150	ItaloQueirolo	717433082	RT @IlindelatorreMD: Coronavirus		Lima - Perú	Tue Jan 21 11:59:40 +0000 2020	
151	AccioJoycey	357047675	RT @MsLeaSalonga: With tours and travel coming up in the next couple of months, I’d better keep an eye on this.		4 Privet Drive	Tue Jan 21 11:59:39 +0000 2020	
152	Libreinfo	300045480	Stocks are sinking on fears of the deadly virus in #China — 'Markets are worried about this spreading to more citie…		Colombia	Tue Jan 21 11:59:37 +0000 2020	
153	retrojude	276628796	Should the world be worried about the coronavirus in China?		Memphis, TN	Tue Jan 21 11:59:37 +0000 2020	
154	MariaDiazUrbano	559657329	"RT @FEBiotec: ""WHO will assess whether the coronavirus is a public health emergency"""			Tue Jan 21 11:59:36 +0000 2020	
155	segajavi	795326560156979201	RT @COIBarcelona: 🗞️ Qué es el virus ‘nCoV’ #coronavirus y cómo evitar contagiarse via @LaVanguardia			Tue Jan 21 11:59:34 +0000 2020	
156	sDreyse	1249857949	"Virus in China: Death toll rises to six



sent over @updayDE"		Berlin-Brandenburg	Tue Jan 21 11:59:34 +0000 2020	
157	itsmepaulaling	785022181415583744	"RT @Spotlight_World: How can you protect yourself from coronavirus? 😷

#SARS2020 "		boob	Tue Jan 21 11:59:31 +0000 2020	
158	makoto_au_japon	25927619	RT @Focus_Taiwan: [BREAKING] Taiwan confirms 1st Wuhan coronavirus case		#Genève #Geneva 🇨🇭 or #Japan	Tue Jan 21 11:59:30 +0000 2020	
159	JohnnyAbbott14	795697958129901569	RT @CarolineBnt: In three weeks I see us like that #coronavirus		Chez ta mère	Tue Jan 21 11:59:30 +0000 2020	
160	dasigucsm	1106932608116547584	Reduce the risk from getting infections such as #coronavirus! Here’s @WHO’s friendly reminders. 🤗 			Tue Jan 21 11:59:28 +0000 2020	
161	breakingnewsusa	22413220	Nearly 300 In China Have Coronavirus			Tue Jan 21 11:59:28 +0000 2020	
162	TuanArief	148957234	RT @guardian: US briefing: impeachment trial, coronavirus and gun violence		INDONESIA	Tue Jan 21 11:59:26 +0000 2020	
163	epardoh	206842696	RT @dpdegra:		Barcelona, Catalunya	Tue Jan 21 11:59:25 +0000 2020	
164	RadioWellnessIT	1108643430	The Chinese #coronavirus increases the number of #contagi up to 2000 cases. Listen now recently #intervista exc ...		Padova	Tue Jan 21 11:59:24 +0000 2020	
165	caksdealmeida	51859292	@madeiradez	243009503.0	São Paulo	Tue Jan 21 11:59:19 +0000 2020	
166	travelingInv	953111710000472065	China virus: Coronavirus cases surge ahead of Spring Festival travel - The #travel #places #photography #traveltips…		Boca Raton, FL	Tue Jan 21 11:59:17 +0000 2020	
167	StephanieBarkes	2273788483	4 people dead as China confirms Wuhan coronavirus can be spread by humans via /r/worldnews			Tue Jan 21 11:59:16 +0000 2020	
